Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWEs
4c7918fe6fe469c8e3b749cb520936fc1b5bc4ba,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
da067470b378ea1e1645115d41eb629f280b13cf,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
adaa080b2734ce314b3b7a26fb33e4d2bafe1563,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
535bfcfcd79ff98cae58c0b2bf8f29ffa0355fb5,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
35a59ebdc3f8b0af5cb0402f5efccb6ae28115d8,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
2a5425f6f09f418ce10bfb3698518eb386ea0332,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
2d524fe3191347274ef18ac2794b7db9d4323c94,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
61b52fd6d7eeec8e54a6d2ddb53f6982951147d3,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
cc7441fb1e89a234994489bbd5ead8440b94ccb3,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
8e900ac7114888e7db642b00ee6cc9ba0f612ea9,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
c1cf6c87413836b4263617e6f82aacaf60576094,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
6950e75c4450aae459f2bdde0e6e881200ebb41c,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
a747b06988bba80a3f4287452d17418b950ced93,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
346722f815efb0453aa9858067dfd858d96fab43,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
2ddfc9260dca69529206b1193de0b88f411aaa88,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
9e8b0f800af04734c7ede20a2cbe35b8cd2df6ad,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
100f290cc501cdfce064ee7a6771eacfc87bf89e,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
8a4c0233b4c7c6f353946c2adf13ac28a7f2a768,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
5a085bcd0719b7e2817c54e6f2fe5418d6efb164,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
c2324a594c2f335ee0efea0fc193e2081f33531c,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
0cb7d9ac8def4a490c8b49b7755a9484f3018eb2,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
6a845761c3fbb18bd4bdc5efb278a6c351ae7434,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
8801859a76824540d700e87cfc85f24c5ebe4f4d,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
3a11ac532478794f7ae91cb658ce1c1d306d9917,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
ce29823eb5b6f0f4606928454030313b22152abd,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
6244b743a004beedf783c9232688466f22a83a26,20,0,0,5,0,15,https://cwe.mitre.org/data/definitions/78.html;https://cwe.mitre.org/data/definitions/330.html;https://cwe.mitre.org/data/definitions/703.html
